  UID   PID  PPID   C STIME   TTY           TIME CMD
    0   617     1   0  6 925  ??         0:03.40 /usr/libexec/PowerUIAgent
    0   618     1   0  6 925  ??         0:10.80 /usr/libexec/eligibilityd
  261   620     1   0  6 925  ??         0:00.10 /usr/libexec/hidd
   88   621     1   0  6 925  ??         0:14.50 /usr/sbin/distnoted agent
    0   624     1   0  6 925  ??         0:26.81 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  202   629     1   0  6 925  ??         0:13.86 /usr/sbin/distnoted agent
    0   630     1   0  6 925  ??         0:00.18 /usr/libexec/ApplicationFirewall/socketfilterfw
   65   633     1   0  6 925  ??         5:13.01 /usr/sbin/mDNSResponder
  289   634     1   0  6 925  ??         0:19.00 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
   24   637     1   0  6 925  ??         3:53.57 /usr/libexec/symptomsd
    0   638     1   0  6 925  ??         0:51.43 /usr/libexec/storagekitd
    0   640     1   0  6 925  ??         5:18.43 /usr/libexec/syspolicyd
    0   641     1   0  6 925  ??         0:00.13 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
    0   644     1   0  6 925  ??         0:15.26 /usr/sbin/mDNSResponderHelper
    0   645     1   0  6 925  ??         4:28.79 /usr/libexec/audioclocksyncd
    0   650     1   0  6 925  ??         0:03.95 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd -daemon
  205   651     1   0  6 925  ??         0:25.12 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
    0   652     1   0  6 925  ??         0:00.05 /usr/libexec/colorsync.displayservices
  205   653     1   0  6 925  ??         0:13.16 /usr/sbin/distnoted agent
    0   655     1   0  6 925  ??         0:00.06 /usr/libexec/colorsyncd
    0   656     1   0  6 925  ??         0:09.77 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  262   658     1   0  6 925  ??         0:13.44 /usr/sbin/distnoted agent
  205   661     1   0  6 925  ??         0:00.30 /usr/sbin/cfprefsd agent
  205   662     1   0  6 925  ??         0:06.25 /usr/libexec/trustd --agent
  262   663     1   0  6 925  ??         2:33.84 /usr/sbin/appleh13camerad
